Title,Rating,Year published,Game Description
4D Sports Tennis,7/10,1990,a 3D Tennis computer game with motion capture animation of the 4D Sports series. 
9 Lives,9/10,1990," a 1990 platform video game released for the Amiga and Atari ST developed by ARC, a software division of Atari. The player takes the role of Bob Cat, who must rescue Claudette from a mad scientist who kidnapped her."
,,,
1941: Counter Attack,8/10,1990,"a vertical scrolling shooter arcade game by Capcom. The goal is to shoot down enemy airplanes and collect weapon power-ups (POW). The game uses a vitality system instead of life system in which if the player is hit, it loses one point of vitality and the player is destroyed if hit with 0 vitality then the player is given the option to continue."
A.B. Cop,6/10,1990,The player takes on the role of the A.B. (Air Bike) Cop who must chase down and destroy the perpetrators of various crimes (which changes every level) before the time limit expires.
Action Stations!,7/10,1990,"Action Stations! is a game in which the focus is the involvement of surface officers in conducting war at sea.

Each player gives orders to their ships for the next 3 minutes of game time. The orders are then executed simultaneously."
ActRaiser,8/10,1990,"a 1990 hybrid platformer, god game, and city-building game with light action RPG elements for the Super Nintendo Entertainment System developed by Quintet and published by Enix, combining traditional side-scrolling platforming with urban planning god game sections."
Adidas Championship Football,3/10,1990,a soccer video game developed by Ocean Software in 1990
Advanced Destroyer Simulator,7/10,1990,"a naval-based video game, published by Futura Games for the Amiga, Atari ST, Amstrad CPC, and MS-DOS in 1990. Players are able to maneuver and carry out a variety of ship functions manually. The player faces various types of enemy ships and aircraft."
Adventures in the Magic Kingdom,5/10,1990," The game places the player as a nameless main character, for whom the player can enter a name at the start of the game, into a hub-and-spoke Disney park heavily based on the company's Disneyland, Magic Kingdom, and Tokyo Disneyland parks. Goofy left the golden key for the castle gate inside, and Mickey Mouse asks for the player's help to find six silver keys needed to open the Cinderella Castle gate and allow the Disney parade to begin. After completing this task, Mickey congratulates the player and the parade begins."
The Adventures of Gilligan's Island,8/10,1990,"The player controls the Skipper and is followed around by Gilligan, who is controlled by the computer."
Adventures of Lolo 2,7/10,1990,a puzzle video game released in 1990 by HAL Laboratory for the Nintendo Entertainment System. It is the seventh installment of the Japanese Eggerland video game series
Adventures of Lolo 3,8/10,1990, a puzzle video game developed and published by HAL Laboratory for the Nintendo Entertainment System. It is based on the Japanese Eggerland video game series. It is the ninth installment of the Japanese Eggerland video game series
The Adventures of Rad Gravity,7/10,1990,an action-adventure platform game for the Nintendo Entertainment System developed by Interplay and published by Activision in 1990. Rad Gravity is the name of the game's hero.
Aerial Assault,8/10,1990,"a side-scrolling shooter video game published by Sega for the Master System in 1990. The player takes the role of a Freedom Fighter who must destroy five targets, including the Vinsk (a flying battleship in the Game Gear version, an ordinary ship in the Master System), the CB-53 Bomber, ""El"", and two cliff fortresses."
After Burst,7.5/10,1990,"Players must control a combat robot with the ultimate goal of destroying the enemy orb. Each level only has one screen to blast hostile robots, solve challenging platforms, and manipulate a series of short puzzles."
Air Buster,8/10,1990,a 1990 horizontally scrolling shooter arcade video game developed by Kaneko. It was published by Namco in Japan and Sharp Image Electronics in North America
Air Diver,7/10,1990,a combat flight simulator video game released by Seismic (Asmik Ace Entertainment in Japan) in April 1990 for the Sega Genesis/Mega Drive console.
Air Duel,3/10,1990,"The player selects from a jet fighter or helicopter, shoot enemies in the air and ground, collect power-ups, and defeat bosses to advance levels."
Air Inferno,8/10,1990,"a 1990 flight simulation arcade video game developed and released by Taito, in Japan, Europe and North America."
Al Unser Jr.'s Turbo Racing,6/10,1990,"a racing video game for the Nintendo Entertainment System console released in 1990. he game is a racing video game. The player directs the car using the D-pad, accelerating with A and braking with B. The gauges, speed, and several other things can be seen at the bottom of the screen."
Alex Kidd in Shinobi World,8/10,1990,"a side-scrolling action game from Sega for the Master System in 1990. Alex Kidd's basic attack is a sword slice, which can be used not only to destroy enemies but also to open treasure chests. Inside such chests, the player can obtain items such as more health, throwing darts, a powered-up sword, extra lives, and a magic ball that will temporarily turn Alex Kidd into an invincible tornado. "
Alien Storm,7.5/10,1990,"Vicious predators from the far ends of the universe are invading our planet! They’re mean and wicked, creating havoc everywhere they go! Time for the aptly named “Alien Busters” to take control, get nasty and kick some serious martian butt!"
Back to the Future Part II,6/10,1990,"Back to the Future Part II features five levels based on scenes from the film. Marty McFly, his girlfriend Jennifer Parker, and Emmett ""Doc"" Brown time-travel from 1985 to 2015, to prevent the couple's future children from turning out badly. The game includes an introduction sequence that depicts the DeLorean time machine as it travels to 2015. The first level is a side-scroller in which Marty uses a hoverboard around Hill Valley and must avoid oncoming vehicles while evading Griff and his gang. The second level is played as a puzzle game in which Jennifer has wound up at the house where her future self resides. Playing from an overhead perspective, the player must guide Jennifer out of the house while preventing her from seeing her future self or her future family members"
Bad Company,7/10,1990,a computer game developed by Vectordean and originally published by Logotron in 1990
Bad Blood,6/10,1990,"Bad Blood is a top-down action-adventure. You can not create your own character but have to pick one of the three predefined ones: Varrigg (a strong green mutant who fights with his bare hands), Dekker (a human male armed with a knife) or Jakka (who looks human but fires laser beams from her eyes). The choice you make has only a limited impact on gameplay and storyline."
Batman,7/10,1990,"a horizontally scrolling beat 'em up arcade game released by Atari Games, Midway Games, Data East and Namco in 1990 in North America,"
Battle Master,8/10,1990,"a 1990 fantasy action adventure game designed by Mike Simpson and Simon Jones, Battle Master is a squad-based action-adventure game viewed from a top-down isometric perspective."
Battle Pingpong,7/10,1990,"In Battle Ping Pong the player can battle against ten AI enemies in a table tennis game. Those opponents represent ten countries which are humorously depicted, e.g. the USA athlete wears a cowboy hat. The goal of a single-player game is to beat all of them. Regarding gameplay, the player only has to hit the ball with the correct timing and can perform a few basic moves. The game is played in a first-person perspective: only the table tennis racket is visible."
Blood Bros.,5/10,1990," a 1990 arcade game developed and published by TAD Corporation in Japan and Europe, and later published in North America by Fabtek. In Blood Bros., two blood brothers, a cowboy and an Indian, team up to hunt down ""the most wanted outlaw in Dodge City,"" Big Bad John"
Cadaver ,8/10,1990,"In the original Cadaver, Karadoc, who is a gold-hungry dwarf and really just hopes to find a treasure, is on a mission to seek out and kill the necromancer Dianos, the sole remaining inhabitant of Castle Wulf."
California Games II,3/10,1990,The object of the game is to score as many points as possible by performing stunts and surviving the event. Each event has different play mechanics and physics as well.
Carlos Sainz: World Rally Championship,8/10,1990," a 1990 racing video game co-developed by the Spanish companies Zigurat Software (previously known as Made in Spain) and Arcadia Software. Carlos Sainz: World Rally Championship is a top-down rally racing game reminiscent of Paris-Dakar (1988), where players observe from above and race as Spanish rally driver Carlos Sainz driving the Toyota Celica Turbo 4WD across locations conforming the World Rally Championship such as Portugal, Acropolis, 1000 Lakes, San Remo, Cataluña and RAC by participating in increasingly difficult two-lap races to obtain the best time record possible and qualify for the next course to win the championship"
Chew Man Fu,7/10,1990,"The single-screen levels are inhabited by enemies, who can be killed by the firing of one of the balls. When a ball hits an enemy, it will continue moving in the same direction, intervening walls, and pushing the player backwards slightly. Balls can also be pushed forwards or pulled backwards, including around corners. Once a ball is placed onto its pad, it can be still be moved. Also included is a small bonus Kick-Ball game for two players, which doubles as practice with the control system."
Chess Simulator,7/10,1990,The board can be viewed in 2D or 3D perspective. The game includes a mode where the player's Elo rating is determined after solving 24 chess puzzles.
Code Name: Viper,6/10,1990,"he gameplay system is similar to Namco's 1986 arcade game Rolling Thunder, specifically its own NES version. Like in Rolling Thunder, the player can jump or drop down between floors by holding the directional pad up or down and pressing the jump button, as well as enter doors to obtain power-ups or avoid enemies. The player can be armed with one of two weapons (a standard issue pistol or a fully automatic machine gun for continuous firepower). Items includes additional ammunition for either weapon, extra health, a time extension, and extra lives"
Daedalian Opus,7/10,1990,"The game is essentially a series of 36 jigsaw puzzles with pentominos that must be assembled into a specific shape. The puzzles start off with rectangular shapes and simple solutions, but the puzzles quickly grow more complex, with odder shapes like a rocket ship, a gun, and even enlarged versions of some of the pentominoes themselves. Each level is timed, and once the timer is started it cannot be stopped until the level is finished. One starts off the game with only three pentomino pieces, and at the completion of each early level, a new piece is awarded to the player. At the final level, the player is given the 2x2 square O tetromino and must complete an 8x8 square puzzle."
DarkSpyre,7/10,1990,"The gods of War, Magic, and Intellect created the Darkspyre to find a champion to overcome the final challenge of mankind. The player must locate the five runes of power within Darkspyre to master the tests and prevent the destruction of the world."
Darwin's Dilemma,6/10,1990," a puzzle game in which the goal is to match creatures together. After enough matches the creatures will ""evolve"" into new ones, and these new creatures must be again matched so they can evolve, and so on."
Death Race,8/10,1990,"Death Race is set in eight American cities, which the player visits in succession: San Diego, California; Phoenix, Arizona; Denver, Colorado; Houston, Texas; New Orleans, Louisiana; Chicago, Illinois; Raleigh, North Carolina; and New York, New York.

In each city, the player drives an armored sports car equipped with surface-to-air missiles and rapid-fire guns. Player performance is measured by the number of kills. The player may use money earned in the game to upgrade the car's engine, tires, chassis, guns, and missiles. Level completion requires capturing one to four flags, and then passing through the exit. The game has four difficulty levels: Rookie, Amateur, Professional, and World Class. To complete the game, the player must play through all cities twice at the ""World Class"" difficulty setting."
Deep Dungeon,4/10,1990,"Deep Dungeon is a role Playing Game by HummingBird Soft. Humanity and forces of evil have been fighting for centuries. One day, a courageous and strong swordsman went to confront, alone, this evil spirit. The devil, nearly defeated, had to run away and hide underground with his army. Time passed, and most people simply forgot about their existence. Then one day, they slowly came out of their hideout and kidnapped the king's daughter. A swordsman is sent by the king to rescue the princess, armed with the legendary sword and shield that defeated evil once.."
Devil's Crush,7/10,1990,"The playfield of Devil's Crush consists of a free scrolling pinball table three screens high. There are three pairs of flippers. The player can nudge/bump the table to influence the ball's path. Using the tilt button too much will result in the game ""tilting"" and the flippers will stop working, causing a lost ball. There are many targets to shoot for and hidden bonus rooms."
Die Hard,6/10,1990,"There are 40 terrorists scattered throughout the building, and John McClane's task is to clear each floor of terrorists, and using the stairwell or the express elevator to travel between floors 31 and 35 (with more floors being unlocked in ""Advanced"" mode)."
Dizzy Panic,3/10,1990,"a puzzle video game published in 1990 by Codemasters for the Amstrad CPC, ZX Spectrum, Commodore 64, Master System, and Game Gear"
Dragon Fighter,7/10,1990,The player takes control of a magical human fighter who has the ability to transform himself into a flying dragon
Dragon Lord,8/10,1990,"A fantasy-themed strategy game, players control one of three dragon lords competing to find the (game-winning) talisman.This goal is achieved by raising dragons, empowering them via alchemy, and then sending them to conquer towns."
Dragon Quest IV,8/10,1990,"Dragon Quest IV offered several new features over the first three titles, while carrying on many of those introduced in the previous games. Similar features included are the day and night cycles, the ability to travel via ship and a flying vehicle (this time, a hot air balloon), and the three levels of keys. They are Thief, Magic and Ultimate (originally localized as Final). There are also travel doors, which allow the party to move a great distance on the world map with little travel. Unlike the Hero in Dragon Warrior III, the Hero of Dragon Quest IV is not required to be in the party at all once the wagon becomes available. Despite this, the Hero is again the character that possesses the most powerful healing and attack spells. Many spells, weapons, armor, and shops (including the vault/bank) function the same as in past games."
DuckTales: The Quest for Gold,8/10,1990,The game starts as Flintheart Glomgold walks into Scrooge McDuck's office and challenges him to see who is the richest duck in the world
"Dynowarz: Destruction of Spondylus",6/10,1990,"There are two modes of gameplay. The player controls either Professor Proteus in his battlesuit, or Cyborasaurus, a truly devastating Robosaur. Capsules that Robosaurs drop can help to keep these two entities alive. Capsules labeled ""E"" will fully replenish the player's energy. Capsules labeled ""B"" give the player a full barrier meter. Any damage taken will deplete the barrier meter before affecting the energy meter."
Earth Shaker,6/10,1990,"Earth Shaker is a puzzle game that was originally released for the ZX Spectrum in 1990, and was written by Michael Batty. Michael kindly gave us permission to release this version for the Xbox 360, which contains all his original levels, graphics and music, and has been extended to incorporate a level designer and replay feature."
Elemental Master,9/10,1990,"The game is autoscrolling upwards. The player can choose to either shoot up or down. There are different weapons (types of magic) available, based on (naturally) the elements. Of the seven levels the game has, the player can choose the order of the first four."
Escape from Hell,4/10,1990,"The game is played from a top-down perspective. The player controls the protagonist Richard and can recruit up to two party members and gain a variety of items in the inventory. Combat is turn-based. Various tridents can be found that change the landscape of Hell, such as modifying the terrain or reducing the technology level so that firearms are ineffective."
F-Zero,8/10,1990,"F-Zero is a futuristic racing game where players compete in a high-speed racing tournament called ""F-Zero"". There are four F-Zero characters. Each has their own selectable hovercar, and each hovercar has its own unique performance abilities."
Final Fantasy III,8/10,1990,"The gameplay of Final Fantasy III combines elements of the first two Final Fantasy games with new features. The turn-based combat system remains in place from the first two games, but hit points are now shown above the target following attacks or healing actions, rather than captioned as in the previous two games. Auto-targeting for physical attacks after a friendly or enemy unit is killed is also featured for the first time. Unlike subsequent games in the series, magical attacks are not auto-targeted in the same fashion."
Flood ,8/10,1990,"Quiffy must collect all of the various pieces of litter on the level and then find the exit to complete each level. In general the litter is not particularly hidden, it is just distributed around the level. Quiffy can climb on most walls and ceilings, and swim through water. He has energy which depletes upon touching dangerous objects, but can also die instantly when touching any of the few lethal objects. Although he can swim and has the appearance of an amphibious life-form, he can only breathe above water and will start to drown if he runs out of air."
Galactic Crusader,9/10,1990,"The game is a top-down perspective shooter, often compared to the popular space shooter Galaga. The player progresses through numerous stages, using missiles and lasers to shoot oncoming enemies. One notable difference from Galaga is Galactic Crusader's many bosses which the player confronts at the end of each level, which often take many hits to defeat."
Ghostbusters,8/10,1990,"Ghostbusters is a platform shoot 'em up with side-scrolling gameplay, The game's story involves ghosts terrorizing a city after an earthquake, The game features a choice of three playable Ghostbuster characters from the films: Peter Venkman, Ray Stantz, and Egon Spengler."
Godzilla,5/10,1990,"The game is a 2D side-scrolling video game where Godzilla can only walk around or climb ladders, vines or crystals. A prominent part of the game is his punch, the only attack he has, which is used to destroy boulders, and to kill or push enemies. The main point of each room is to destroy all of the boulders, by pushing them against a wall and hitting it again. Once all of the boulders are gone, one or two arrow panels will appear somewhere in the room. Touching one will take Godzilla to the room in a large map corresponding to its direction. As levels are completed, the direction is revealed on the map for further use."
Go! Go! Tank,7/10,1990,This video game was developed for the Game Boy handheld game console. The game's narrative is as follows: A peaceful nation has been invaded by an enemy army.
Gremlins 2: The New Batch,8/10,1990,"In the NES game, the player controls Gizmo through various levels in the building, armed with weapons ranging from the genetically modified super tomato in the laboratory to the new matchstick-firing bow in the later sections. The goal of the game is to reach the Gremlin Control Center to wipe out all Gremlins inside. The Game Boy version was a side-scroller also featuring Gizmo."
Gun Frontier,5/10,1990,"Gun Frontier is a space Western-themed vertically scrolling shoot 'em up game. Players assume the role of planetary settlers who formed part in the colonization team of planet Gloria taking control of revolver-shaped fighter aircraft through six stages, in a last-ditch effort to defeat the Wild Lizards and free their surviving people from enslavement by the space pirates."
Hammerfist,8/10,1990,"The player controls either the male Hammerfist or the female Metalisis; as they occupy the same body, the player can transform from one to the other at any time in order to utilize their distinct skills. Hammerfist is a more powerful combatant, able to sustain more damage and fire energy bolts from his fists, while Metalisis is able to cartwheel (or 'flick-flack') over obstacles and gaps between platforms. Each room consists of a series of challenges, primarily computer screens which must be smashed and enemies which must be destroyed, before they are able to progress to the next room. Virtually all rooms require both characters to be used in order to complete them."
Harlem Globetrotters,6/10,1990,"Unlike most other basketball video games, there is only an exhibition mode in this game where the player can play as either the Harlem Globetrotters or their long-time rivals, the Washington Generals. The player can even pull down the referee's pants or trip the ref when a free throw has been called when playing as the Harlem Globetrotters."
Horror Zombies from the Crypt,6/10,1990,"This game is inspired by 1950s horror movies. The player assumes the role of a Count Frederick Valdemar and enters a mansion full of ghastly creatures such as grim reapers, vampires, zombies and mummies.These creatures will attempt to stop the Count as he ventures through 6 levels in search for skulls. All skulls must be collected before the player may exit the level. Before each level there is an introductory screen which explains the goal of the level."
Hyperball,9/10,1990,"Hyperball follows the Breakout gameplay of a controllable bat used to keep a bouncing ball on screen and destroying blocks. When blocks are hit, an assortment of capsules occasionally drop. These include an infrared view which allowed the player to see otherwise ""invisible"" blocks, a laser cannon, a ball detonator which splits the ball into eight separate balls and a diamond cutter which allows the ball to travel through anything. An alien also sometimes falls, with detrimental effects including biting a hole in the bat, magnetizing the bat (making control difficult) or speeding up the ball."
The Immortal,8/10,1990,"The wizard Mordamir calls for help from deep below the labyrinth, attempting to communicate with a man named Dunric. The player, an elderly wizard, instead discovers the message and takes on the quest to rescue Mordamir–his mentor and master. While descending the levels of the labyrinth, a race of Goblins and trolls at war are encountered, and the goblins allies with the player after sparing their king. The player also encounters many other hostile creatures within the labyrinth, including invisible Shades, Will-o'-the-wisp, flesh-eating slime, flying lizards, giant man-eating worms, a giant spider and a water Norlac. The player is assisted along the way by the warrior Ulindor, Mordamir's servant and body guard. As well as a mysterious merchant selling helpful potions and magical items."
Infestation ,7/10,1990,"The Alpha 2 research colony on Xelos has been invaded by aliens, wiping out the crew and laying 167 of their eggs, all waiting to hatch into a lethal alien infestation. Superhero Kal Solar is the only one who can prevent a catastrophe, and that's where you come in."
"
Ishido: The Way of Stones",7/10,1990,"Ishido is a puzzle board game consisting of a set of 72 stones and a game board of 96 squares.

Every stone has two attributes: a color and a symbol. There are six colors and six symbols in each stone set, thus creating 36 unique stones. Since each stone comes in a pair, there are therefore 72 stones in each stone set."
